시도,산업명,사업체수
서울,도매 및 소매업,220055
서울,숙박 및 음식점업,132475
서울,"협회 및 단체, 수리 및 기타 개인 서비스업",69346
서울,제조업,57321
서울,부동산업,43611
부산,도매 및 소매업,79464
부산,숙박 및 음식점업,53391
부산,제조업,30630
부산,"협회 및 단체, 수리 및 기타 개인 서비스업",29572
부산,교육 서비스업,12792
대구,도매 및 소매업,55148
대구,숙박 및 음식점업,36093
대구,제조업,26900
대구,"협회 및 단체, 수리 및 기타 개인 서비스업",21829
대구,교육 서비스업,11134
인천,도매 및 소매업,46874
인천,숙박 및 음식점업,37321
인천,제조업,25190
인천,"협회 및 단체, 수리 및 기타 개인 서비스업",20734
인천,교육 서비스업,8553
광주,도매 및 소매업,31799
광주,숙박 및 음식점업,20742
광주,"협회 및 단체, 수리 및 기타 개인 서비스업",14132
광주,제조업,9266
광주,교육 서비스업,7042
대전,도매 및 소매업,30596
대전,숙박 및 음식점업,21767
대전,"협회 및 단체, 수리 및 기타 개인 서비스업",13488
대전,제조업,8380
대전,교육 서비스업,5874
울산,도매 및 소매업,20146
울산,숙박 및 음식점업,19377
울산,"협회 및 단체, 수리 및 기타 개인 서비스업",9452
울산,제조업,7727
울산,교육 서비스업,4896
세종,숙박 및 음식점업,3849
세종,도매 및 소매업,3402
세종,"협회 및 단체, 수리 및 기타 개인 서비스업",1749
세종,부동산업,1541
세종,교육 서비스업,1354
경기,도매 및 소매업,212226
경기,숙박 및 음식점업,160465
경기,제조업,133317
경기,"협회 및 단체, 수리 및 기타 개인 서비스업",88854
경기,교육 서비스업,46798
강원,숙박 및 음식점업,39817
강원,도매 및 소매업,33705
강원,"협회 및 단체, 수리 및 기타 개인 서비스업",16108
강원,제조업,8889
강원,건설업,7516
충북,도매 및 소매업,31524
충북,숙박 및 음식점업,28650
충북,"협회 및 단체, 수리 및 기타 개인 서비스업",14406
충북,제조업,14273
충북,건설업,5594
충남,도매 및 소매업,43064
충남,숙박 및 음식점업,37500
충남,"협회 및 단체, 수리 및 기타 개인 서비스업",19136
충남,제조업,19050
충남,건설업,7218
전북,도매 및 소매업,40113
전북,숙박 및 음식점업,28331
전북,"협회 및 단체, 수리 및 기타 개인 서비스업",18670
전북,제조업,13288
전북,교육 서비스업,7780
전남,도매 및 소매업,42532
전남,숙박 및 음식점업,33360
전남,"협회 및 단체, 수리 및 기타 개인 서비스업",18613
전남,제조업,14537
전남,건설업,7752
경북,도매 및 소매업,56101
경북,숙박 및 음식점업,50104
경북,제조업,29686
경북,"협회 및 단체, 수리 및 기타 개인 서비스업",25211
경북,건설업,10229
경남,도매 및 소매업,66322
경남,숙박 및 음식점업,62642
경남,제조업,38354
경남,"협회 및 단체, 수리 및 기타 개인 서비스업",29827
경남,교육 서비스업,13659
제주,숙박 및 음식점업,19822
제주,도매 및 소매업,15252
제주,"협회 및 단체, 수리 및 기타 개인 서비스업",5816
제주,교육 서비스업,2851
제주,제조업,2658
